"","lon","lat","address","zip","city","state","metro","county_name","x2020_01","quartile"
"1",-83.9918588,34.0342959,"1032 old peachtree rd ne #205lawrenceville, lawrenceville, ga 30043, usa","30043","Lawrenceville","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County",251746,"q3"
"2",-121.3273114,38.63918,"4126 manzanita ave, carmichael, ca 95608, usa","95608","Carmichael","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",426111,"q4"
"3",-84.544862,39.3507872,"4605 dixie hwy, fairfield, oh 45014, usa","45014","Fairfield","OH","Cincinnati","Butler County",177871,"q3"
"4",-85.6182308,30.1553369,"3207 e 4th st, panama city, fl 32401, usa","32401","Panama City","FL","Panama City","Bay County",124862,"q2"
"5",-94.8046139,39.7697013,"faraon st, st joseph, mo 64506, usa","64506","Saint Joseph","MO","St. Joseph","Buchanan County",179634,"q3"
"6",-80.0505043,40.6030848,"10293 perry hwy, wexford, pa 15090, usa","15090","Wexford","PA","Pittsburgh","Allegheny County",382022,"q4"
"7",-77.6473593,35.2610467,"4190 w vernon ave, kinston, nc 28504, usa","28504","Kinston","NC","Kinston","Lenoir County",115003,"q2"
"8",-85.137403,39.682032,"4000 western ave, connersville, in 47331, usa","47331","Connersville","IN","Connersville","Fayette County",83613,"q1"
"9",-87.4567658,46.5481036,"3125 us-41, marquette, mi 49855, usa","49855","Marquette","MI","Marquette","Marquette County",218083,"q3"
"10",-72.533387,42.143903,"570 cottage st, springfield, ma 01104, usa","01104",NA,NA,NA,NA,NA,"q4"
"11",-118.493312,34.0178068,"524 santa monica blvd, santa monica, ca 90401, usa","90401","Santa Monica","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1178492,"q4"
"12",-77.412371,37.2535855,"1500 boulevard, colonial heights, va 23834, usa","23834","Colonial Heights","VA","Richmond","Colonial Heights City",177730,"q3"
"13",-79.3552359,37.7371247,"2277 beech ave #501, buena vista, va 24416, usa","24416","Buena Vista","VA","","Buena Vista City",110353,"q2"
"14",-104.9878998,39.7159506,"21 s broadway, denver, co 80209, usa","80209","Denver","CO","Denver-Aurora-Lakewood","Denver County",783183,"q4"
"15",-83.6342195,41.5387627,"26580 n dixie hwy, perrysburg, oh 43551, usa","43551","Perrysburg","OH","Toledo","Wood County",236761,"q3"
"16",-82.0247915,33.4101757,"3120 peach orchard rd, augusta, ga 30906, usa","30906","Augusta","GA","Augusta-Richmond County","Richmond County",80654,"q1"
"17",-93.0060235,45.2765912,"197 19th st sw, forest lake, mn 55025, usa","55025","Forest Lake","MN","Minneapolis-St. Paul-Bloomington","Washington County",310797,"q4"
"18",-95.0630932,29.8817606,"14530 crosby lynchburg rd, crosby, tx 77532, usa","77532","Crosby","TX","Houston-The Woodlands-Sugar Land","Harris County",196143,"q3"
"19",-117.2000879,32.8127773,"4220 balboa ave, san diego, ca 92117, usa","92117","San Diego","CA","San Diego-Carlsbad","San Diego County",701998,"q4"
"20",-88.4738202,43.0859843,"1408 summit ave, oconomowoc, wi 53066, usa","53066","Oconomowoc","WI","Milwaukee-Waukesha-West Allis","Waukesha County",353849,"q4"
"21",-85.7094217,38.325248,"2764 jefferson centre way, jeffersonville, in 47130, usa","47130","Jeffersonville","IN","Louisville/Jefferson County","Clark County",157861,"q2"
"22",-81.8395266,27.2106359,"1701 e oak st, arcadia, fl 34266, usa","34266","Arcadia","FL","Arcadia","De Soto County",118503,"q2"
"23",-84.6297221,33.8662259,"2667 powder springs rd sw #117marietta, marietta, ga 30064, usa","30064","Marietta","GA","Atlanta-Sandy Springs-Roswell","Cobb County",312815,"q4"
"24",-87.6110011,38.3538072,"3215 w broadway st, princeton, in 47670, usa","47670","Princeton","IN","","Gibson County",106635,"q2"
"25",-90.5372115,38.6167862,"14808 clayton rd, chesterfield, mo 63017, usa","63017","Chesterfield","MO","St. Louis","Saint Louis County",383639,"q4"
"26",-80.1349649,26.6205011,"5821 lake worth rd, greenacres, fl 33463, usa","33463","Greenacres","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",247032,"q3"
"27",-77.4927197,38.24354,"4701 market st, fredericksburg, va 22408, usa","22408","Fredericksburg","VA","Washington-Arlington-Alexandria","Spotsylvania County",289853,"q4"
"28",-119.1807188,34.1961377,"330 w 6th st store 330 w, oxnard, ca 93030, usa","93030","Oxnard","CA","Oxnard-Thousand Oaks-Ventura","Ventura County",551804,"q4"
"29",-77.6869856,37.4038836,"14740 hull street rd, chesterfield, va 23832, usa","23832","Chesterfield","VA","Richmond","Chesterfield County",251332,"q3"
"30",-89.0736054,42.3139378,"740 w riverside blvd, rockford, il 61103, usa","61103","Rockford","IL","Rockford","Winnebago County",70405,"q1"
"31",-82.2886664,27.9804862,"710 w dr martin luther king jr blvd, seffner, fl 33584, usa","33584","Seffner","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",214502,"q3"
"32",-117.3146351,33.9659564,"",NA,NA,NA,NA,NA,NA,"q4"
"33",-123.096787,44.078013,"1175 cal young rd, eugene, or 97401, usa","97401","Eugene","OR","Eugene","Lane County",377069,"q4"
"34",-72.8745324,41.6262084,"350 queen st, southington, ct 06489, usa","06489",NA,NA,NA,NA,NA,"q4"
"35",-122.2496396,47.3795183,"315 washington ave s, kent, wa 98032, usa","98032","Kent","WA","Seattle-Tacoma-Bellevue","King County",381973,"q4"
"36",-80.9269876,35.2317442,"5301 wilkinson blvd, charlotte, nc 28208, usa","28208","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",162022,"q2"
"37",-84.1977802,39.81673,"5400 n dixie dr, dayton, oh 45414, usa","45414","Dayton","OH","Dayton","Montgomery County",103668,"q1"
"38",-81.4238336,41.0244505,"1500 canton rd, akron, oh 44312, usa","44312","Akron","OH","Akron","Summit County",113105,"q2"
"39",-96.556386,33.731407,"2419 woodlawn blvd, denison, tx 75020, usa","75020","Denison","TX","Sherman-Denison","Grayson County",137739,"q2"
"40",-122.6296832,38.2426252,"175 fairgrounds dr, petaluma, ca 94952, usa","94952","Petaluma","CA","Santa Rosa","Sonoma County",805955,"q4"
"41",-83.8489393,34.290501,"1514 skelton rd, gainesville, ga 30504, usa","30504","Gainesville","GA","Gainesville","Hall County",215494,"q3"
"42",-97.1270096,31.5731071,"1000 e waco dr, waco, tx 76704, usa","76704","Waco","TX","Waco","McLennan County",66774,"q1"
"43",-121.7580585,36.9116923,"470 main st, watsonville, ca 95076, usa","95076","Watsonville","CA","Santa Cruz-Watsonville","Santa Cruz County",609584,"q4"
"44",-80.7016933,35.3150611,"1725 harris houston rd, charlotte, nc 28262, usa","28262","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",217500,"q3"
"45",-81.415235,28.5520058,"3200 w colonial dr, orlando, fl 32808, usa","32808","Pine Hills","FL","Orlando-Kissimmee-Sanford","Orange County",167322,"q3"
"46",-95.4336856,30.0747665,"1417 spring cypress rd #111bspring, spring, tx 77373, usa","77373","Spring","TX","Houston-The Woodlands-Sugar Land","Harris County",169474,"q3"
"47",-110.975822,31.854569,"520 e white house canyon rd, green valley, az 85614, usa","85614","Green Valley","AZ","Tucson","Pima County",197402,"q3"
