"","lon","lat","address","zip","city","state","metro","county_name","x2020_01"
"1",-81.8145715,26.6049005,"challenger blvd, fort myers, fl 33966, usa","33966","Fort Myers","FL","Cape Coral-Fort Myers","Lee County",230071
"2",-82.1944946,33.4792417,"4109 gateway blvd, grovetown, ga 30813, usa","30813","Grovetown","GA","Augusta-Richmond County","Columbia County",194257
"3",-89.1222209,41.3587063,"1307 38th st, peru, il 61354, usa","61354","Peru","IL","Ottawa-Peru","La Salle County",109722
"4",-118.3425792,34.1690465,"3226 w magnolia blvd, burbank, ca 91505, usa","91505","Burbank","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",816218
"5",-97.715703,30.350732,"1100 w anderson ln, austin, tx 78757, usa","78757","Austin","TX","Austin-Round Rock","Travis County",477693
"6",-80.3861097,25.6893786,"8268 mills dr, miami, fl 33183, usa","33183","Kendale Lakes","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",257062
"7",-84.2699313,33.8114213,"2201 lawrenceville hwy #100decatur, decatur, ga 30033, usa","30033","Decatur","GA","Atlanta-Sandy Springs-Roswell","Dekalb County",355570
"8",-80.9269876,35.2317442,"5301 wilkinson blvd, charlotte, nc 28208, usa","28208","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",162022
"9",-79.7923249,36.0600579,"1235 s eugene st, greensboro, nc 27406, usa","27406","Greensboro","NC","Greensboro-High Point","Guilford County",135032
"10",-87.5755002,38.0189843,"4480 n first ave, evansville, in 47710, usa","47710","Evansville","IN","Evansville","Vanderburgh County",101957
"11",-112.1482793,33.8776137,"43240 n black canyon hwy, phoenix, az 85087, usa","85087","New River","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",395684
"12",-76.9389192,40.2149851,"3825 hartzdale dr, camp hill, pa 17011, usa","17011","Lower Allen Township","PA","Harrisburg-Carlisle","Cumberland County",208949
"13",-83.6820434,42.2340772,"3782 carpenter rd, ypsilanti, mi 48197, usa","48197","Ypsilanti","MI","Ann Arbor","Washtenaw County",235532
"14",-111.7931223,33.2465449,"2825 e ocotillo rd, chandler, az 85249, usa","85249","Chandler","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",427233
"15",-81.6133381,42.9487673,"351 caradoc st s, strathroy, on n7g 2p3, canada","canada",NA,NA,NA,NA,NA
"16",-87.8156331,42.1040874,"2740 old willow rd, northbrook, il 60062, usa","60062","Northbrook","IL","Chicago-Naperville-Elgin","Cook County",522959
"17",-92.085407,32.521734,"3158 louisville ave, monroe, la 71201, usa","71201","Monroe","LA","Monroe","Ouachita Parish",186033
"18",-90.5789609,38.7476013,"3551 harvester rd 2 store, st peters, mo 63303, usa","63303","Saint Charles","MO","St. Louis","Saint Charles County",241210
"19",-98.7182213,46.879623,"2629 8th ave sw, jamestown, nd 58401, usa","58401","Jamestown","ND","Jamestown","Stutsman County",194423
"20",-84.7567166,43.5760681,"4529 e blue grass rd, mt pleasant, mi 48858, usa","48858","Mount Pleasant","MI","Mount Pleasant","Isabella County",146933
"21",-81.4898822,30.3170493,"11900 atlantic blvd, jacksonville, fl 32225, usa","32225","Jacksonville","FL","Jacksonville","Duval County",249444
"22",-81.4610276,30.2848241,"13500 beach blvd, jacksonville, fl 32224, usa","32224","Jacksonville","FL","Jacksonville","Duval County",315969
"23",-115.2788201,36.2839309,"6765 n durango dr, las vegas, nv 89149, usa","89149","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",327731
"24",-80.8532605,35.1995934,"2226 park rd, charlotte, nc 28203, usa","28203","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",480294
"25",-80.0766287,26.6249638,"701 boutwell rd, lake worth, fl 33461, usa","33461","Palm Springs","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",193575
"26",-84.2125283,39.0247115,"87 e main st, amelia, oh 45102, usa","45102","Amelia","OH","Cincinnati","Clermont County",187121
"27",-84.3770591,39.2282036,"9410 kenwood rd, blue ash, oh 45242, usa","45242","Blue Ash","OH","Cincinnati","Hamilton County",354594
"28",-84.2468489,39.1922561,"985 oh-28 #28milford, milford, oh 45150, usa","45150","Milford","OH","Cincinnati","Clermont County",207331
"29",-84.3395384,39.3401318,"1063 reading rd, mason, oh 45040, usa","45040","Mason","OH","Cincinnati","Warren County",301132
"30",-90.5064027,44.0101296,"1516 n superior ave, tomah, wi 54660, usa","54660","Tomah","WI","","Monroe County",166582
"31",-80.2367058,25.750078,"2500 sw 22nd st, miami, fl 33145, usa","33145","Miami","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",429614
"32",-84.5972184,39.1477796,"2990 harrison ave, cincinnati, oh 45211, usa","45211","Cincinnati","OH","Cincinnati","Hamilton County",116150
"33",-75.015533,39.71315,"1912 n black horse pike, williamstown, nj 08094, usa","08094",NA,NA,NA,NA,NA
"34",-77.4727664,38.4761299,"54 n. stafford complex, center st, stafford, va 22556, usa","22556","Stafford","VA","Washington-Arlington-Alexandria","Stafford County",358414
"35",-88.5751781,43.996702,"1600 w 20th ave, oshkosh, wi 54902, usa","54902","Oshkosh","WI","Oshkosh-Neenah","Winnebago County",126406
"36",-78.8136475,41.1468656,"131 preston way, falls creek, pa 15840, usa","15840","Falls Creek","PA","","Jefferson County",85409
"37",-80.2507552,27.1977267,"101 se ocean blvd ste 101, stuart, fl 34994, usa","34994","Stuart","FL","Port St. Lucie","Martin County",167301
"38",-85.0852002,31.8803417,"1430 ga-50 #101tifton, georgetown, ga 39854, usa","39854","Georgetown","GA","Eufaula","Quitman County",77305
"39",-82.5285787,27.8672255,"w prescott st, tampa, fl 33616, usa","33616","Tampa","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",251239
"40",-99.0886453,40.7152643,"4009 6th ave, kearney, ne 68845, usa","68845","Kearney","NE","Kearney","Buffalo County",244362
"41",-122.7062552,38.4137366,"651 yolanda ave, santa rosa, ca 95404, usa","95404","Santa Rosa","CA","Santa Rosa","Sonoma County",647775
"42",-83.9219448,35.9921301,"2041 n broadway, knoxville, tn 37917, usa","37917","Knoxville","TN","Knoxville","Knox County",133877
"43",-121.8238331,39.7620273,"1354 east ave suite d, chico, ca 95926, usa","95926","Chico","CA","Chico","Butte County",370189
"44",-90.5171064,38.7838926,"1 westbury dr bldg b, suite 220, st charles, mo 63301, usa","63301","Saint Charles","MO","St. Louis","Saint Charles County",205518
"45",NA,NA,NA,NA,NA,NA,NA,NA,NA
"46",-85.8154231,41.5667914,"1401 college ave, goshen, in 46526, usa","46526","Goshen","IN","Elkhart-Goshen","Elkhart County",166473
"47",-87.9091922,43.0880542,"3900 n palmer st, milwaukee, wi 53212, usa","53212","Milwaukee","WI","Milwaukee-Waukesha-West Allis","Milwaukee County",129708
"48",-96.8048321,32.9103574,"5941 forest ln, dallas, tx 75230, usa","75230","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",606784
"49",-82.2598284,29.0791092,"8449 sw state rd 200, ocala, fl 34481, usa","34481","Ocala","FL","Ocala","Marion County",154295
"50",-116.3635446,43.6194644,"e fairview ave, meridian, id 83642, usa","83642","Meridian","ID","Boise City","Ada County",346973
"51",-121.3198491,37.9983748,"stockton, ca 95207, usa","95207","Stockton","CA","Stockton-Lodi","San Joaquin County",297625
"52",-112.0663229,33.6065936,"13226 n 7th st, phoenix, az 85022, usa","85022","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",296880
"53",-96.6484307,32.8641975,"1661 e northwest hwy, garland, tx 75041, usa","75041","Garland","TX","Dallas-Fort Worth-Arlington","Dallas County",176999
"54",-81.9960076,34.945705,"895 spartan blvd, spartanburg, sc 29301, usa","29301","Spartanburg","SC","Spartanburg","Spartanburg County",146871
"55",-77.3697224,37.1837383,"65 crater cir, petersburg, va 23805, usa","23805","Petersburg","VA","Richmond","Petersburg City",141247
"56",-82.0673715,34.8865711,"sc-296 & sc-290, south carolina 29334, usa","29334","Duncan","SC","Spartanburg","Spartanburg County",188754
"57",-82.6517009,34.503219,"sc-81, anderson, sc, usa","sc",NA,NA,NA,NA,NA
"58",-84.3261564,33.4464788,"1985 mcdonough rd, hampton, ga 30228, usa","30228","Hampton","GA","Atlanta-Sandy Springs-Roswell","Henry County",190249
"59",-84.0168797,33.5509225,"4489 hwy 20 s, covington, ga 30016, usa","30016","Covington","GA","Atlanta-Sandy Springs-Roswell","Newton County",168540
"60",-91.7508015,37.9533589,"1304 forum dr, rolla, mo 65401, usa","65401","Rolla","MO","Rolla","Phelps County",147163
"61",-81.5072641,41.02744,"570 e waterloo rd, akron, oh 44319, usa","44319","Portage Lakes","OH","Akron","Summit County",158107
"62",-84.4466394,33.4729909,"1030 glynn st n, fayetteville, ga 30214, usa","30214","Fayetteville","GA","Atlanta-Sandy Springs-Roswell","Fayette County",246003
"63",-81.5325594,35.2777268,"445 earl rd, shelby, nc 28150, usa","28150","Shelby","NC","Shelby","Cleveland County",104243
"64",-84.5996639,33.8526353,"1717 east-west connector, austell, ga 30106, usa","30106","Austell","GA","Atlanta-Sandy Springs-Roswell","Cobb County",182655
"65",-85.2350481,34.2730141,"2338 shorter ave nw, rome, ga 30165, usa","30165","Rome","GA","Rome","Floyd County",133393
"66",-84.5055047,33.6561318,"3625 n commerce dr, east point, ga 30344, usa","30344","East Point","GA","Atlanta-Sandy Springs-Roswell","Fulton County",174603
"67",-84.3182099,34.0376586,"10580 duke dr, alpharetta, ga 30009, usa","30009","Alpharetta","GA","Atlanta-Sandy Springs-Roswell","Fulton County",394978
"68",-84.2918658,33.2454649,"1520 ga-16, griffin, ga 30224, usa","30224","Griffin","GA","Atlanta-Sandy Springs-Roswell","Spalding County",152973
"69",-111.6319956,33.2530367,"21437 s ellsworth rd, queen creek, az 85142, usa","85142","Queen Creek","AZ","Phoenix-Mesa-Scottsdale","Pinal County",350265
"70",-95.9037036,36.0621908,"6933 s sheridan rd, tulsa, ok 74133, usa","74133","Tulsa","OK","Tulsa","Tulsa County",193461
"71",-110.9956618,32.3653716,"n la cañada dr, oro valley, az 85737, usa","85737","Oro Valley","AZ","Tucson","Pima County",324502
"72",-92.2339725,38.5797612,"s ten mile dr, jefferson city, mo 65109, usa","65109","Jefferson City","MO","Jefferson City","Cole County",161349
"73",-85.498565,44.7726665,"3922 m-72, williamsburg, mi 49690, usa","49690","Williamsburg","MI","Traverse City","Grand Traverse County",302697
"74",-80.2229578,26.6524237,"1925 birkdale dr, west palm beach, fl 33414, usa","33414","Wellington","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",385372
"75",-74.0029218,40.751033,"520 w 28th st, new york, ny 10001, usa","10001","New York","NY","New York-Newark-Jersey City","New York County",1167208
"76",-96.105095,36.1387868,"202 jefferson st, sand springs, ok 74063, usa","74063","Sand Springs","OK","Tulsa","Tulsa County",140101
"77",-92.0669889,30.2007407,"3840 w congress st, lafayette, la 70506, usa","70506","Lafayette","LA","Lafayette","Lafayette Parish",157474
"78",-118.2484594,34.1152484,"3150 n san fernando rd, los angeles, ca 90065, usa","90065","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",829589
"79",-118.6018871,34.1994957,"7107 owensmouth ave, canoga park, ca 91303, usa","91303","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",549441
"80",-84.0002851,35.9921051,"5412 pleasant ridge rd, knoxville, tn 37912, usa","37912","Knoxville","TN","Knoxville","Knox County",151086
