"","X","lon","lat","X.1","zip","city","state","metro","county_name","x2020_01","quartile","rating","address","region"
"1",1,-83.9918588,34.0342959,NA,"81505","Grand Junction","CO","Grand Junction","Mesa County",322109,"q4",5,"630 24 1/2 rd, grand junction, co 81505, usa","West"
"2",2,-121.3273114,38.63918,NA,"77581","Pearland","TX","Houston-The Woodlands-Sugar Land","Brazoria County",264777,"q4",5,"3265 e broadway st, pearland, tx 77581, usa","South"
"3",3,-84.544862,39.3507872,NA,"30308","Atlanta","GA","Atlanta-Sandy Springs-Roswell","Fulton County",290460,"q4",5,"160 ponce de leon ave ne, atlanta, ga 30308, usa","South"
"4",4,-85.6182308,30.1553369,NA,"27203","Asheboro","NC","Greensboro-High Point","Randolph County",111364,"q2",5,"1064 e dixie dr, asheboro, nc 27203, usa","South"
"5",5,-94.8046139,39.7697013,NA,"54311","Green Bay","WI","Green Bay","Brown County",221750,"q3",5,"1301 brosig st, green bay, wi 54311, usa","Midwest"
"6",6,-80.0505043,40.6030848,NA,"78154","Schertz","TX","San Antonio-New Braunfels","Guadalupe County",229759,"q3",5,"6102 fm3009, schertz, tx 78154, usa","South"
"7",7,-77.6473593,35.2610467,NA,"76310","Wichita Falls","TX","Wichita Falls","Wichita County",155060,"q2",5,"4609 southwest pkwy, wichita falls, tx 76310, usa","South"
"8",8,-85.137403,39.682032,NA,"53066","Oconomowoc","WI","Milwaukee-Waukesha-West Allis","Waukesha County",353849,"q4",4.5,"1408 summit ave, oconomowoc, wi 53066, usa","Midwest"
"9",9,-87.4567658,46.5481036,NA,"28208","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",162022,"q2",4.5,"5301 wilkinson blvd, charlotte, nc 28208, usa","South"
"10",10,-72.533387,42.143903,NA,"78738","Bee Cave","TX","Austin-Round Rock","Travis County",601240,"q4",4.5,"12400 tx-71, bee cave, tx 78738, usa","South"
"11",11,-118.493312,34.0178068,NA,"32940","Melbourne","FL","Palm Bay-Melbourne-Titusville","Brevard County",318360,"q4",4.5,"7007 n wickham rd, melbourne, fl 32940, usa","South"
"12",12,-77.412371,37.2535855,NA,"59701","Butte","MT","Butte-Silver Bow","Silver Bow County",144042,"q2",4.5,"harrison ave, butte, mt 59701, usa","West"
"13",13,-79.3552359,37.7371247,NA,"14075","Town of Hamburg","NY","Buffalo-Cheektowaga-Niagara Falls","Erie County",200391,"q3",4.5,"6000 south park ave, hamburg, ny 14075, usa","Northeast"
"14",14,-104.9878998,39.7159506,NA,"90064","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1570843,"q4",4.5,"11151 w pico blvd, los angeles, ca 90064, usa","West"
"15",15,-83.6342195,41.5387627,NA,"45069","West Chester","OH","Cincinnati","Butler County",260789,"q3",4.5,"7773 cincinnati dayton rd store 7773, west chester township, oh 45069, usa","Midwest"
"16",16,-82.0247915,33.4101757,NA,"91950","National City","CA","San Diego-Carlsbad","San Diego County",454005,"q4",4.5,"2300 sweetwater rd, national city, ca 91950, usa","West"
"17",17,-93.0060235,45.2765912,NA,"80209","Denver","CO","Denver-Aurora-Lakewood","Denver County",783183,"q4",4,"21 s broadway, denver, co 80209, usa","West"
"18",18,-95.0630932,29.8817606,NA,"55025","Forest Lake","MN","Minneapolis-St. Paul-Bloomington","Washington County",310797,"q4",4,"197 19th st sw, forest lake, mn 55025, usa","Midwest"
"19",19,-117.2000879,32.8127773,NA,"61103","Rockford","IL","Rockford","Winnebago County",70405,"q1",4,"740 w riverside blvd, rockford, il 61103, usa","Midwest"
"20",20,-88.4738202,43.0859843,NA,"76704","Waco","TX","Waco","McLennan County",66774,"q1",4,"1000 e waco dr, waco, tx 76704, usa","South"
"21",21,-85.7094217,38.325248,NA,"64836","Carthage","MO","Joplin","Jasper County",139721,"q2",4,"132 w george e phelps blvd, carthage, mo 64836, usa","Midwest"
"22",22,-81.8395266,27.2106359,NA,"33325","Davie","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",402066,"q4",4,"11366 w state rd 84, davie, fl 33325, usa","South"
"23",23,-84.6297221,33.8662259,NA,"22031","Fairfax","VA","Washington-Arlington-Alexandria","Fairfax County",594100,"q4",4,"9960 main st, fairfax, va 22031, usa","South"
"24",24,-87.6110011,38.3538072,NA,"38501","Cookeville","TN","Cookeville","Putnam County",164450,"q3",4,"575 s jefferson ave, cookeville, tn 38501, usa","South"
"25",25,-90.5372115,38.6167862,NA,"76119","Fort Worth","TX","Dallas-Fort Worth-Arlington","Tarrant County",134493,"q2",4,"2452 mansfield hwy, fort worth, tx 76119, usa","South"
"26",26,-80.1349649,26.6205011,NA,"95758","Elk Grove","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",419876,"q4",4,"2475 elk grove blvd, elk grove, ca 95758, usa","West"
"27",27,-77.4927197,38.24354,NA,"10801","New Rochelle","NY","New York-Newark-Jersey City","Westchester County",571119,"q4",4,"28 joyce rd, new rochelle, ny 10801, usa","Northeast"
"28",28,-119.1807188,34.1961377,NA,"20716","Bowie","MD","Washington-Arlington-Alexandria","Prince Georges County",329175,"q4",4,"3871 evergreen pkwy, bowie, md 20716, usa","South"
"29",29,-77.6869856,37.4038836,NA,"78209","San Antonio","TX","San Antonio-New Braunfels","Bexar County",391066,"q4",4,"8001 n new braunfels ave, san antonio, tx 78209, usa","South"
"30",30,-89.0736054,42.3139378,NA,"97756","Redmond","OR","Bend-Redmond","Deschutes County",328968,"q4",4,"2067 nw 6th st, redmond, or 97756, usa","West"
"31",31,-82.2886664,27.9804862,NA,"78028","Kerrville","TX","Kerrville","Kerr County",231011,"q3",4,"1048 junction hwy, kerrville, tx 78028, usa","South"
"32",32,-117.3146351,33.9659564,NA,"47302","Muncie","IN","Muncie","Delaware County",44670,"q1",4,"1413 e 29th st, muncie, in 47302, usa","Midwest"
"33",33,-123.096787,44.078013,NA,"18051","Weisenberg Township","PA","Allentown-Bethlehem-Easton","Lehigh County",331652,"q4",4,"7720 main st, fogelsville, pa 18051, usa","Northeast"
"34",34,-72.8745324,41.6262084,NA,"95670","Rancho Cordova","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",360688,"q4",4,"1945 zinfandel dr, rancho cordova, ca 95670, usa","West"
"35",35,-122.2496396,47.3795183,NA,"80212","Denver","CO","Denver-Aurora-Lakewood","Denver County",569280,"q4",4,"5825 w 44th ave, denver, co 80212, usa","West"
"36",36,-80.9269876,35.2317442,NA,"37027","Brentwood","TN","Nashville-Davidson--Murfreesboro--Franklin","Williamson County",638573,"q4",4,"6708 nolensville pike, brentwood, tn 37027, usa","South"
"37",37,-84.1977802,39.81673,NA,"96707","Kapolei","HI","Urban Honolulu","Honolulu County",647412,"q4",4,"2140 lauwiliwili st, kapolei, hi 96707, usa","West"
"38",38,-81.4238336,41.0244505,NA,"91367","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",781556,"q4",4,"21322 w oxnard st, woodland hills, ca 91367, usa","West"
"39",39,-96.556386,33.731407,NA,"26757","Romney","WV","Winchester","Hampshire County",132033,"q2",4,"22240 northwestern turnpike, romney, wv 26757, usa","South"
"40",40,-122.6296832,38.2426252,NA,"75935","Center","TX","","Shelby County",101676,"q1",4,"1233 tenaha st, center, tx 75935, usa","South"
"41",41,-83.8489393,34.290501,NA,"93268","Taft","CA","Bakersfield","Kern County",127363,"q2",4,"411 finley dr, taft, ca 93268, usa","West"
"42",42,-97.1270096,31.5731071,NA,"30534","Dawsonville","GA","Atlanta-Sandy Springs-Roswell","Dawson County",250898,"q3",4,"66 s 400 center ln ste 140-150, dawsonville, ga 30534, usa","South"
"43",43,-121.7580585,36.9116923,NA,"95608","Carmichael","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",426111,"q4",4,"5107 fair oaks blvd, carmichael, ca 95608, usa","West"
"44",44,-80.7016933,35.3150611,NA,"78218","San Antonio","TX","San Antonio-New Braunfels","Bexar County",152000,"q2",4,"5722 walzem rd #103, san antonio, tx 78218, usa","South"
"45",45,-81.415235,28.5520058,NA,"23805","Petersburg","VA","Richmond","Petersburg City",141247,"q2",4,"65 crater cir, petersburg, va 23805, usa","South"
"46",46,-95.4336856,30.0747665,NA,"95608","Carmichael","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",426111,"q4",3.5,"4126 manzanita ave, carmichael, ca 95608, usa","West"
"47",47,-110.975822,31.854569,NA,"28504","Kinston","NC","Kinston","Lenoir County",115003,"q2",3.5,"4190 w vernon ave, kinston, nc 28504, usa","South"
