"","zip","city","state","metro","county_name","x2020_01"
"1","10025","New York","NY","New York-Newark-Jersey City","New York County",1199640
"2","60657","Chicago","IL","Chicago-Naperville-Elgin","Cook County",476589
"3","10023","New York","NY","New York-Newark-Jersey City","New York County",1168729
"4","77494","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",334918
"5","60614","Chicago","IL","Chicago-Naperville-Elgin","Cook County",623088
"6","77449","Katy","TX","Houston-The Woodlands-Sugar Land","Harris County",187963
"7","10002","New York","NY","New York-Newark-Jersey City","New York County",1096220
"8","77084","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",184907
"9","79936","El Paso","TX","El Paso","El Paso County",134103
"10","60640","Chicago","IL","Chicago-Naperville-Elgin","Cook County",298428
"11","11226","New York","NY","New York-Newark-Jersey City","Kings County",649354
"12","10467","New York","NY","New York-Newark-Jersey City","Bronx County",199739
"13","78660","Pflugerville","TX","Austin-Round Rock","Travis County",270712
"14","94109","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",1205039
"15","926","Zwolle","LA","","Sabine Parish",104607
"16","10016","New York","NY","New York-Newark-Jersey City","New York County",771856
"17","37013","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",239971
"18","32162","The Villages","FL","The Villages","Sumter County",285470
"19","60647","Chicago","IL","Chicago-Naperville-Elgin","Cook County",424888
"20","11201","New York","NY","New York-Newark-Jersey City","Kings County",1023160
"21","11235","New York","NY","New York-Newark-Jersey City","Kings County",393999
"22","11375","New York","NY","New York-Newark-Jersey City","Queens County",399398
"23","90250","Hawthorne","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",672690
"24","78130","New Braunfels","TX","San Antonio-New Braunfels","Comal County",241948
"25","37211","Nashville","TN","Nashville-Davidson--Murfreesboro--Franklin","Davidson County",269070
"26","10009","New York","NY","New York-Newark-Jersey City","New York County",910880
"27","77573","League City","TX","Houston-The Woodlands-Sugar Land","Galveston County",280363
"28","60618","Chicago","IL","Chicago-Naperville-Elgin","Cook County",429352
"29","77584","Pearland","TX","Houston-The Woodlands-Sugar Land","Brazoria County",273226
"30","10011","New York","NY","New York-Newark-Jersey City","New York County",998882
"31","20002","Washington","DC","Washington-Arlington-Alexandria","District of Columbia",692341
"32","10128","New York","NY","New York-Newark-Jersey City","New York County",1040777
"33","28269","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",229962
"34","78613","Cedar Park","TX","Austin-Round Rock","Williamson County",331285
"35","77433","Cypress","TX","Houston-The Woodlands-Sugar Land","Harris County",283300
"36","78572","Mission","TX","McAllen-Edinburg-Mission","Hidalgo County",120289
"37","30349","Riverdale","GA","Atlanta-Sandy Springs-Roswell","Clayton County",157559
"38","79912","El Paso","TX","El Paso","El Paso County",193530
"39","75052","Grand Prairie","TX","Dallas-Fort Worth-Arlington","Dallas County",230103
"40","94565","Pittsburg","CA","San Francisco-Oakland-Hayward","Contra Costa County",579734
"41","37042","Clarksville","TN","Clarksville","Montgomery County",150116
"42","11206","New York","NY","New York-Newark-Jersey City","Kings County",559380
"43","73099","Yukon","OK","Oklahoma City","Canadian County",175562
"44","90046","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1351117
"45","20009","Washington","DC","Washington-Arlington-Alexandria","District of Columbia",624164
"46","77429","Cypress","TX","Houston-The Woodlands-Sugar Land","Harris County",258714
"47","78245","San Antonio","TX","San Antonio-New Braunfels","Bexar County",187020
"48","77479","Sugar Land","TX","Houston-The Woodlands-Sugar Land","Fort Bend County",375293
"49","10462","New York","NY","New York-Newark-Jersey City","Bronx County",183964
"50","10456","New York","NY","New York-Newark-Jersey City","Bronx County",310871
"51","60613","Chicago","IL","Chicago-Naperville-Elgin","Cook County",336955
"52","30044","Lawrenceville","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County",218420
"53","10019","New York","NY","New York-Newark-Jersey City","New York County",1038762
"54","63376","Saint Peters","MO","St. Louis","Saint Charles County",215668
"55","10003","New York","NY","New York-Newark-Jersey City","New York County",1089714
"56","28277","Charlotte","NC","Charlotte-Concord-Gastonia","Mecklenburg County",372037
"57","60625","Chicago","IL","Chicago-Naperville-Elgin","Cook County",360149
"58","30043","Lawrenceville","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County",251746
"59","11230","New York","NY","New York-Newark-Jersey City","Kings County",501474
"60","11212","New York","NY","New York-Newark-Jersey City","Kings County",467369
"61","77036","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",139937
"62","10463","New York","NY","New York-Newark-Jersey City","New York County",337676
"63","60629","Chicago","IL","Chicago-Naperville-Elgin","Cook County",181771
"64","11209","New York","NY","New York-Newark-Jersey City","Kings County",464687
"65","30096","Duluth","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County",251652
"66","11221","New York","NY","New York-Newark-Jersey City","Kings County",1056710
"67","7030","Hoboken","NJ","New York-Newark-Jersey City","Hudson County",722425
"68","98052","Redmond","WA","Seattle-Tacoma-Bellevue","King County",857202
"69","30024","Suwanee","GA","Atlanta-Sandy Springs-Roswell","Gwinnett County",370470
"70","60610","Chicago","IL","Chicago-Naperville-Elgin","Cook County",421195
"71","78704","Austin","TX","Austin-Round Rock","Travis County",620572
"72","77077","Houston","TX","Houston-The Woodlands-Sugar Land","Harris County",303816
"73","85032","Phoenix","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",284914
"74","77379","Spring","TX","Houston-The Woodlands-Sugar Land","Harris County",258733
"75","75287","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",331182
"76","10024","New York","NY","New York-Newark-Jersey City","New York County",1317930
"77","78666","San Marcos","TX","Austin-Round Rock","Hays County",232396
"78","21234","Parkville","MD","Baltimore-Columbia-Towson","Baltimore County",211247
"79","33160","Sunny Isles Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",344680
"80","23464","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",268043
"81","34787","Winter Garden","FL","Orlando-Kissimmee-Sanford","Orange County",349205
"82","78521","Brownsville","TX","Brownsville-Harlingen","Cameron County",81934
"83","8701","Lakewood Township","NJ","New York-Newark-Jersey City","Ocean County",329446
"84","75243","Dallas","TX","Dallas-Fort Worth-Arlington","Dallas County",203858
"85","11214","New York","NY","New York-Newark-Jersey City","Kings County",486943
"86","28027","Concord","NC","Charlotte-Concord-Gastonia","Cabarrus County",256360
"87","11207","New York","NY","New York-Newark-Jersey City","Kings County",467168
"88","94501","Alameda","CA","San Francisco-Oakland-Hayward","Alameda County",1029822
"89","2169","Quincy","MA","Boston-Cambridge-Newton","Norfolk County",469536
"90","33411","Royal Palm Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Palm Beach County",307808
"91","11229","New York","NY","New York-Newark-Jersey City","Kings County",572402
"92","60619","Chicago","IL","Chicago-Naperville-Elgin","Cook County",130008
"93","78745","Austin","TX","Austin-Round Rock","Travis County",345982
"94","94110","San Francisco","CA","San Francisco-Oakland-Hayward","San Francisco County",1497658
"95","23462","Virginia Beach","VA","Virginia Beach-Norfolk-Newport News","Virginia Beach City",214049
"96","33025","Miramar","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",260174
"97","10458","New York","NY","New York-Newark-Jersey City","Bronx County",186840
"98","75067","Lewisville","TX","Dallas-Fort Worth-Arlington","Denton County",257424
"99","90034","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1307772
"100","80134","Parker","CO","Denver-Aurora-Lakewood","Douglas County",504726
"101","33139","Miami Beach","FL","Miami-Fort Lauderdale-West Palm Beach","Miami-Dade County",367426
"102","60611","Chicago","IL","Chicago-Naperville-Elgin","Cook County",449774
"103","95630","Folsom","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",575305
"104","48197","Ypsilanti","MI","Ann Arbor","Washtenaw County",235532
"105","44107","Lakewood","OH","Cleveland-Elyria","Cuyahoga County",201034
"106","66062","Olathe","KS","Kansas City","Johnson County",277451
"107","11211","New York","NY","New York-Newark-Jersey City","Kings County",970258
"108","44035","Elyria","OH","Cleveland-Elyria","Lorain County",113930
"109","85281","Tempe","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",281705
"110","11377","New York","NY","New York-Newark-Jersey City","Queens County",424845
"111","10453","New York","NY","New York-Newark-Jersey City","Bronx County",400249
"112","90805","Long Beach","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",487813
"113","7302","Jersey City","NJ","New York-Newark-Jersey City","Hudson County",777649
"114","90650","Norwalk","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",501438
"115","90044","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",471888
"116","85710","Tucson","AZ","Tucson","Pima County",196804
"117","92683","Westminster","CA","Los Angeles-Long Beach-Anaheim","Orange County",709282
"118","85225","Chandler","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",284248
"119","11234","New York","NY","New York-Newark-Jersey City","Kings County",613894
"120","30281","Stockbridge","GA","Atlanta-Sandy Springs-Roswell","Henry County",181654
"121","37075","Hendersonville","TN","Nashville-Davidson--Murfreesboro--Franklin","Sumner County",305937
"122","11355","New York","NY","New York-Newark-Jersey City","Queens County",487081
"123","11238","New York","NY","New York-Newark-Jersey City","Kings County",803671
"124","78641","Leander","TX","Austin-Round Rock","Williamson County",302054
"125","10314","New York","NY","New York-Newark-Jersey City","Richmond County",537394
"126","19143","Philadelphia","PA","Philadelphia-Camden-Wilmington","Philadelphia County",130125
"127","79938","El Paso","TX","El Paso","El Paso County",158396
"128","91709","Chino Hills","CA","Riverside-San Bernardino-Ontario","San Bernardino County",693982
"129","11215","New York","NY","New York-Newark-Jersey City","Kings County",1007208
"130","60617","Chicago","IL","Chicago-Naperville-Elgin","Cook County",116612
"131","87114","Albuquerque","NM","Albuquerque","Bernalillo County",232849
"132","32210","Jacksonville","FL","Jacksonville","Duval County",152003
"133","43081","Westerville","OH","Columbus","Franklin County",248409
"134","94558","Napa","CA","Napa","Napa County",693761
"135","90026","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",924574
"136","76063","Mansfield","TX","Dallas-Fort Worth-Arlington","Tarrant County",292638
"137","77459","Missouri City","TX","Houston-The Woodlands-Sugar Land","Fort Bend County",281167
"138","91910","Chula Vista","CA","San Diego-Carlsbad","San Diego County",549987
"139","27587","Wake Forest","NC","Raleigh","Wake County",329498
"140","30040","Cumming","GA","Atlanta-Sandy Springs-Roswell","Forsyth County",330790
"141","93722","Fresno","CA","Fresno","Fresno County",263183
"142","97229","Portland","OR","Portland-Vancouver-Hillsboro","Multnomah County",587998
"143","6010","Bristol","CT","Hartford-West Hartford-East Hartford","Hartford County",185267
"144","17603","Lancaster Township","PA","Lancaster","Lancaster County",185833
"145","76028","Burleson","TX","Dallas-Fort Worth-Arlington","Johnson County",238289
"146","33908","Fort Myers","FL","Cape Coral-Fort Myers","Lee County",256198
"147","43123","Grove City","OH","Columbus","Franklin County",209522
"148","75056","The Colony","TX","Dallas-Fort Worth-Arlington","Denton County",319797
"149","89108","Las Vegas","NV","Las Vegas-Henderson-Paradise","Clark County",237643
"150","85308","Glendale","AZ","Phoenix-Mesa-Scottsdale","Maricopa County",307880
"151","78577","Pharr","TX","McAllen-Edinburg-Mission","Hidalgo County",104368
"152","78240","San Antonio","TX","San Antonio-New Braunfels","Bexar County",198542
"153","94533","Fairfield","CA","Vallejo-Fairfield","Solano County",402836
"154","87111","Albuquerque","NM","Albuquerque","Bernalillo County",284913
"155","14850","Town Of Ithaca","NY","Ithaca","Tompkins County",257864
"156","33024","Pembroke Pines","FL","Miami-Fort Lauderdale-West Palm Beach","Broward County",294705
"157","98012","Bothell","WA","Seattle-Tacoma-Bellevue","Snohomish County",615535
"158","48180","Taylor","MI","Detroit-Warren-Dearborn","Wayne County",116208
"159","77845","College Station","TX","College Station-Bryan","Brazos County",261712
"160","30318","Atlanta","GA","Atlanta-Sandy Springs-Roswell","Fulton County",251281
"161","44060","Mentor","OH","Cleveland-Elyria","Lake County",189405
"162","85364","Yuma","AZ","Yuma","Yuma County",153365
"163","95608","Carmichael","CA","Sacramento--Roseville--Arden-Arcade","Sacramento County",426111
"164","43055","Newark","OH","Columbus","Licking County",144864
"165","11385","New York","NY","New York-Newark-Jersey City","Queens County",689780
"166","33647","Tampa","FL","Tampa-St. Petersburg-Clearwater","Hillsborough County",302046
"167","92677","Laguna Niguel","CA","Los Angeles-Long Beach-Anaheim","Orange County",848842
"168","44256","Medina","OH","Cleveland-Elyria","Medina County",249166
"169","2148","Malden","MA","Boston-Cambridge-Newton","Middlesex County",485767
"170","15601","Greensburg","PA","Pittsburgh","Westmoreland County",194203
"171","80013","Aurora","CO","Denver-Aurora-Lakewood","Arapahoe County",366011
"172","90066","Los Angeles","CA","Los Angeles-Long Beach-Anaheim","Los Angeles County",1389377
"173","20906","Silver Spring","MD","Washington-Arlington-Alexandria","Montgomery County",352670
"174","47906","West Lafayette","IN","Lafayette-West Lafayette","Tippecanoe County",232217
"175","65807","Springfield","MO","Springfield","Greene County",142441
"176","6902","Stamford","CT","Bridgeport-Stamford-Norwalk","Fairfield County",391045
"177","45011","Hamilton","OH","Cincinnati","Butler County",220884
"178","30188","Woodstock","GA","Atlanta-Sandy Springs-Roswell","Cherokee County",276971
