"","zip","state","state_name","city","x2020_01","region","division"
"1","10025","NY","New York","New York",1199640,"Northeast","Middle Atlantic"
"2","60657","IL","Illinois","Chicago",476589,"Midwest","East North Central"
"3","10023","NY","New York","New York",1168729,"Northeast","Middle Atlantic"
"4","77494","TX","Texas","Katy",334918,"South","West South Central"
"5","60614","IL","Illinois","Chicago",623088,"Midwest","East North Central"
"6","77449","TX","Texas","Katy",187963,"South","West South Central"
"7","10002","NY","New York","New York",1096220,"Northeast","Middle Atlantic"
"8","77084","TX","Texas","Houston",184907,"South","West South Central"
"9","79936","TX","Texas","El Paso",134103,"South","West South Central"
"10","60640","IL","Illinois","Chicago",298428,"Midwest","East North Central"
"11","11226","NY","New York","New York",649354,"Northeast","Middle Atlantic"
"12","10467","NY","New York","New York",199739,"Northeast","Middle Atlantic"
"13","78660","TX","Texas","Pflugerville",270712,"South","West South Central"
"14","94109","CA","California","San Francisco",1205039,"West","Pacific"
"15","926","LA","Louisiana","Zwolle",104607,"South","West South Central"
"16","10016","NY","New York","New York",771856,"Northeast","Middle Atlantic"
"17","37013","TN","Tennessee","Nashville",239971,"South","East South Central"
"18","32162","FL","Florida","The Villages",285470,"South","South Atlantic"
"19","60647","IL","Illinois","Chicago",424888,"Midwest","East North Central"
"20","11201","NY","New York","New York",1023160,"Northeast","Middle Atlantic"
"21","11235","NY","New York","New York",393999,"Northeast","Middle Atlantic"
"22","11375","NY","New York","New York",399398,"Northeast","Middle Atlantic"
"23","90250","CA","California","Hawthorne",672690,"West","Pacific"
"24","78130","TX","Texas","New Braunfels",241948,"South","West South Central"
"25","37211","TN","Tennessee","Nashville",269070,"South","East South Central"
"26","10009","NY","New York","New York",910880,"Northeast","Middle Atlantic"
"27","77573","TX","Texas","League City",280363,"South","West South Central"
"28","60618","IL","Illinois","Chicago",429352,"Midwest","East North Central"
"29","77584","TX","Texas","Pearland",273226,"South","West South Central"
"30","10011","NY","New York","New York",998882,"Northeast","Middle Atlantic"
"31","20002","DC","District of Columbia","Washington",692341,"South","South Atlantic"
"32","10128","NY","New York","New York",1040777,"Northeast","Middle Atlantic"
"33","28269","NC","North Carolina","Charlotte",229962,"South","South Atlantic"
"34","78613","TX","Texas","Cedar Park",331285,"South","West South Central"
"35","77433","TX","Texas","Cypress",283300,"South","West South Central"
"36","78572","TX","Texas","Mission",120289,"South","West South Central"
"37","30349","GA","Georgia","Riverdale",157559,"South","South Atlantic"
"38","79912","TX","Texas","El Paso",193530,"South","West South Central"
"39","75052","TX","Texas","Grand Prairie",230103,"South","West South Central"
"40","94565","CA","California","Pittsburg",579734,"West","Pacific"
"41","37042","TN","Tennessee","Clarksville",150116,"South","East South Central"
"42","11206","NY","New York","New York",559380,"Northeast","Middle Atlantic"
"43","73099","OK","Oklahoma","Yukon",175562,"South","West South Central"
"44","90046","CA","California","Los Angeles",1351117,"West","Pacific"
"45","20009","DC","District of Columbia","Washington",624164,"South","South Atlantic"
"46","77429","TX","Texas","Cypress",258714,"South","West South Central"
"47","78245","TX","Texas","San Antonio",187020,"South","West South Central"
"48","77479","TX","Texas","Sugar Land",375293,"South","West South Central"
"49","10462","NY","New York","New York",183964,"Northeast","Middle Atlantic"
"50","10456","NY","New York","New York",310871,"Northeast","Middle Atlantic"
"51","60613","IL","Illinois","Chicago",336955,"Midwest","East North Central"
"52","30044","GA","Georgia","Lawrenceville",218420,"South","South Atlantic"
"53","10019","NY","New York","New York",1038762,"Northeast","Middle Atlantic"
"54","63376","MO","Missouri","Saint Peters",215668,"Midwest","West North Central"
"55","10003","NY","New York","New York",1089714,"Northeast","Middle Atlantic"
"56","28277","NC","North Carolina","Charlotte",372037,"South","South Atlantic"
"57","60625","IL","Illinois","Chicago",360149,"Midwest","East North Central"
"58","30043","GA","Georgia","Lawrenceville",251746,"South","South Atlantic"
"59","11230","NY","New York","New York",501474,"Northeast","Middle Atlantic"
"60","11212","NY","New York","New York",467369,"Northeast","Middle Atlantic"
"61","77036","TX","Texas","Houston",139937,"South","West South Central"
"62","10463","NY","New York","New York",337676,"Northeast","Middle Atlantic"
"63","60629","IL","Illinois","Chicago",181771,"Midwest","East North Central"
"64","11209","NY","New York","New York",464687,"Northeast","Middle Atlantic"
"65","30096","GA","Georgia","Duluth",251652,"South","South Atlantic"
"66","11221","NY","New York","New York",1056710,"Northeast","Middle Atlantic"
"67","7030","NJ","New Jersey","Hoboken",722425,"Northeast","Middle Atlantic"
"68","98052","WA","Washington","Redmond",857202,"West","Pacific"
"69","30024","GA","Georgia","Suwanee",370470,"South","South Atlantic"
"70","60610","IL","Illinois","Chicago",421195,"Midwest","East North Central"
"71","78704","TX","Texas","Austin",620572,"South","West South Central"
"72","77077","TX","Texas","Houston",303816,"South","West South Central"
"73","85032","AZ","Arizona","Phoenix",284914,"West","Mountain"
"74","77379","TX","Texas","Spring",258733,"South","West South Central"
"75","75287","TX","Texas","Dallas",331182,"South","West South Central"
"76","10024","NY","New York","New York",1317930,"Northeast","Middle Atlantic"
"77","78666","TX","Texas","San Marcos",232396,"South","West South Central"
"78","21234","MD","Maryland","Parkville",211247,"South","South Atlantic"
"79","33160","FL","Florida","Sunny Isles Beach",344680,"South","South Atlantic"
"80","23464","VA","Virginia","Virginia Beach",268043,"South","South Atlantic"
"81","34787","FL","Florida","Winter Garden",349205,"South","South Atlantic"
"82","78521","TX","Texas","Brownsville",81934,"South","West South Central"
"83","8701","NJ","New Jersey","Lakewood Township",329446,"Northeast","Middle Atlantic"
"84","75243","TX","Texas","Dallas",203858,"South","West South Central"
"85","11214","NY","New York","New York",486943,"Northeast","Middle Atlantic"
"86","28027","NC","North Carolina","Concord",256360,"South","South Atlantic"
"87","11207","NY","New York","New York",467168,"Northeast","Middle Atlantic"
"88","94501","CA","California","Alameda",1029822,"West","Pacific"
"89","2169","MA","Massachusetts","Quincy",469536,"Northeast","New England"
"90","33411","FL","Florida","Royal Palm Beach",307808,"South","South Atlantic"
"91","11229","NY","New York","New York",572402,"Northeast","Middle Atlantic"
"92","60619","IL","Illinois","Chicago",130008,"Midwest","East North Central"
"93","78745","TX","Texas","Austin",345982,"South","West South Central"
"94","94110","CA","California","San Francisco",1497658,"West","Pacific"
"95","23462","VA","Virginia","Virginia Beach",214049,"South","South Atlantic"
"96","33025","FL","Florida","Miramar",260174,"South","South Atlantic"
"97","10458","NY","New York","New York",186840,"Northeast","Middle Atlantic"
"98","75067","TX","Texas","Lewisville",257424,"South","West South Central"
"99","90034","CA","California","Los Angeles",1307772,"West","Pacific"
"100","80134","CO","Colorado","Parker",504726,"West","Mountain"
"101","33139","FL","Florida","Miami Beach",367426,"South","South Atlantic"
"102","60611","IL","Illinois","Chicago",449774,"Midwest","East North Central"
"103","95630","CA","California","Folsom",575305,"West","Pacific"
"104","48197","MI","Michigan","Ypsilanti",235532,"Midwest","East North Central"
"105","44107","OH","Ohio","Lakewood",201034,"Midwest","East North Central"
"106","66062","KS","Kansas","Olathe",277451,"Midwest","West North Central"
"107","11211","NY","New York","New York",970258,"Northeast","Middle Atlantic"
"108","44035","OH","Ohio","Elyria",113930,"Midwest","East North Central"
"109","85281","AZ","Arizona","Tempe",281705,"West","Mountain"
"110","11377","NY","New York","New York",424845,"Northeast","Middle Atlantic"
"111","10453","NY","New York","New York",400249,"Northeast","Middle Atlantic"
"112","90805","CA","California","Long Beach",487813,"West","Pacific"
"113","7302","NJ","New Jersey","Jersey City",777649,"Northeast","Middle Atlantic"
"114","90650","CA","California","Norwalk",501438,"West","Pacific"
"115","90044","CA","California","Los Angeles",471888,"West","Pacific"
"116","85710","AZ","Arizona","Tucson",196804,"West","Mountain"
"117","92683","CA","California","Westminster",709282,"West","Pacific"
"118","85225","AZ","Arizona","Chandler",284248,"West","Mountain"
"119","11234","NY","New York","New York",613894,"Northeast","Middle Atlantic"
"120","30281","GA","Georgia","Stockbridge",181654,"South","South Atlantic"
"121","37075","TN","Tennessee","Hendersonville",305937,"South","East South Central"
"122","11355","NY","New York","New York",487081,"Northeast","Middle Atlantic"
"123","11238","NY","New York","New York",803671,"Northeast","Middle Atlantic"
"124","78641","TX","Texas","Leander",302054,"South","West South Central"
"125","10314","NY","New York","New York",537394,"Northeast","Middle Atlantic"
"126","19143","PA","Pennsylvania","Philadelphia",130125,"Northeast","Middle Atlantic"
"127","79938","TX","Texas","El Paso",158396,"South","West South Central"
"128","91709","CA","California","Chino Hills",693982,"West","Pacific"
"129","11215","NY","New York","New York",1007208,"Northeast","Middle Atlantic"
"130","60617","IL","Illinois","Chicago",116612,"Midwest","East North Central"
"131","87114","NM","New Mexico","Albuquerque",232849,"West","Mountain"
"132","32210","FL","Florida","Jacksonville",152003,"South","South Atlantic"
"133","43081","OH","Ohio","Westerville",248409,"Midwest","East North Central"
"134","94558","CA","California","Napa",693761,"West","Pacific"
"135","90026","CA","California","Los Angeles",924574,"West","Pacific"
"136","76063","TX","Texas","Mansfield",292638,"South","West South Central"
"137","77459","TX","Texas","Missouri City",281167,"South","West South Central"
"138","91910","CA","California","Chula Vista",549987,"West","Pacific"
"139","27587","NC","North Carolina","Wake Forest",329498,"South","South Atlantic"
"140","30040","GA","Georgia","Cumming",330790,"South","South Atlantic"
"141","93722","CA","California","Fresno",263183,"West","Pacific"
"142","97229","OR","Oregon","Portland",587998,"West","Pacific"
"143","6010","CT","Connecticut","Bristol",185267,"Northeast","New England"
"144","17603","PA","Pennsylvania","Lancaster Township",185833,"Northeast","Middle Atlantic"
"145","76028","TX","Texas","Burleson",238289,"South","West South Central"
"146","33908","FL","Florida","Fort Myers",256198,"South","South Atlantic"
"147","43123","OH","Ohio","Grove City",209522,"Midwest","East North Central"
"148","75056","TX","Texas","The Colony",319797,"South","West South Central"
"149","89108","NV","Nevada","Las Vegas",237643,"West","Mountain"
"150","85308","AZ","Arizona","Glendale",307880,"West","Mountain"
"151","78577","TX","Texas","Pharr",104368,"South","West South Central"
"152","78240","TX","Texas","San Antonio",198542,"South","West South Central"
"153","94533","CA","California","Fairfield",402836,"West","Pacific"
"154","87111","NM","New Mexico","Albuquerque",284913,"West","Mountain"
"155","14850","NY","New York","Town Of Ithaca",257864,"Northeast","Middle Atlantic"
"156","33024","FL","Florida","Pembroke Pines",294705,"South","South Atlantic"
"157","98012","WA","Washington","Bothell",615535,"West","Pacific"
"158","48180","MI","Michigan","Taylor",116208,"Midwest","East North Central"
"159","77845","TX","Texas","College Station",261712,"South","West South Central"
"160","30318","GA","Georgia","Atlanta",251281,"South","South Atlantic"
"161","44060","OH","Ohio","Mentor",189405,"Midwest","East North Central"
"162","85364","AZ","Arizona","Yuma",153365,"West","Mountain"
"163","95608","CA","California","Carmichael",426111,"West","Pacific"
"164","43055","OH","Ohio","Newark",144864,"Midwest","East North Central"
"165","11385","NY","New York","New York",689780,"Northeast","Middle Atlantic"
"166","33647","FL","Florida","Tampa",302046,"South","South Atlantic"
"167","92677","CA","California","Laguna Niguel",848842,"West","Pacific"
"168","44256","OH","Ohio","Medina",249166,"Midwest","East North Central"
"169","2148","MA","Massachusetts","Malden",485767,"Northeast","New England"
"170","15601","PA","Pennsylvania","Greensburg",194203,"Northeast","Middle Atlantic"
"171","80013","CO","Colorado","Aurora",366011,"West","Mountain"
"172","90066","CA","California","Los Angeles",1389377,"West","Pacific"
"173","20906","MD","Maryland","Silver Spring",352670,"South","South Atlantic"
"174","47906","IN","Indiana","West Lafayette",232217,"Midwest","East North Central"
"175","65807","MO","Missouri","Springfield",142441,"Midwest","West North Central"
"176","6902","CT","Connecticut","Stamford",391045,"Northeast","New England"
"177","45011","OH","Ohio","Hamilton",220884,"Midwest","East North Central"
"178","30188","GA","Georgia","Woodstock",276971,"South","South Atlantic"
"179","92336","CA","California","Fontana",471539,"West","Pacific"
"180","99301","WA","Washington","Pasco",273236,"West","Pacific"
"181","10468","NY","New York","New York",195600,"Northeast","Middle Atlantic"
"182","11373","NY","New York","New York",400421,"Northeast","Middle Atlantic"
"183","65203","MO","Missouri","Columbia",233703,"Midwest","West North Central"
"184","28078","NC","North Carolina","Huntersville",322571,"South","South Atlantic"
"185","60620","IL","Illinois","Chicago",130542,"Midwest","East North Central"
